Date,MSFT_PE,MSFT_ROE,AAPL_PE,AAPL_ROE,NVDA_PE,NVDA_ROE,AMZN_PE,AMZN_ROE,GOOGL_PE,GOOGL_ROE,GOOG_PE,GOOG_ROE,META_PE,META_ROE,BRK-B_PE,BRK-B_ROE,LLY_PE,LLY_ROE,TSLA_PE,TSLA_ROE,V_PE,V_ROE,JPM_PE,JPM_ROE,XOM_PE,XOM_ROE,JNJ_PE,JNJ_ROE,WMT_PE,WMT_ROE,PG_PE,PG_ROE,MA_PE,MA_ROE,HD_PE,HD_ROE,CVX_PE,CVX_ROE,MRK_PE,MRK_ROE,ABBV_PE,ABBV_ROE,KO_PE,KO_ROE,PEP_PE,PEP_ROE,AVGO_PE,AVGO_ROE,COST_PE,COST_ROE,PFE_PE,PFE_ROE,ADBE_PE,ADBE_ROE,CSCO_PE,CSCO_ROE,CMCSA_PE,CMCSA_ROE,NFLX_PE,NFLX_ROE,DIS_PE,DIS_ROE,ACN_PE,ACN_ROE,CRM_PE,CRM_ROE,TMO_PE,TMO_ROE,QCOM_PE,QCOM_ROE,TXN_PE,TXN_ROE,UNH_PE,UNH_ROE,BAC_PE,BAC_ROE,MCD_PE,MCD_ROE,ORCL_PE,ORCL_ROE,INTC_PE,INTC_ROE,SBUX_PE,SBUX_ROE,CAT_PE,CAT_ROE,GE_PE,GE_ROE,NKE_PE,NKE_ROE,AXP_PE,AXP_ROE,IBM_PE,IBM_ROE,MMM_PE,MMM_ROE,VZ_PE,VZ_ROE,FDX_PE,FDX_ROE
2015-12-31,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15,20.0,0.15
2016-12-31,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16,25.5,0.16
2017-12-31,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998,21.0,0.16999999999999998
2018-12-31,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18,26.5,0.18
2019-12-31,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19,22.0,0.19
2020-12-31,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2,27.5,0.2
2021-12-31,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21,23.0,0.21
2022-12-31,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22,28.5,0.22
2023-12-31,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998,24.0,0.22999999999999998
2024-12-31,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24,29.5,0.24
